成交日期,成交时间,交易所,合约编码,合约名称,买卖,开平,成交价格,成交数量,成交金额,备兑,成交编码,备注
2016/3/23,16:00:01,上海股票期权,10000403,50ETF沽3月1850,卖出,平仓,0,8,0,非备兑,,期权持仓到期注销
2016/3/18,14:34:20,上海股票期权,10000576,50ETF购4月2000,买入,开仓,0.1598,1,1598,非备兑,78148,买入开仓
2016/3/18,14:27:14,上海股票期权,10000551,50ETF购6月1850,卖出,平仓,0.2852,1,2852,非备兑,75486,卖出平仓
2016/3/17,9:49:16,上海股票期权,10000541,50ETF购6月1950,买入,开仓,0.195,2,3900,非备兑,11788,买入开仓
2016/3/17,9:49:10,上海股票期权,10000541,50ETF购6月1950,买入,开仓,0.1948,1,1948,非备兑,11735,买入开仓
2016/3/17,9:48:57,上海股票期权,10000567,50ETF购6月1800,卖出,平仓,0.298,3,8940,非备兑,11503,卖出平仓
2016/3/17,9:47:22,上海股票期权,10000541,50ETF购6月1950,买入,开仓,0.1947,2,3894,非备兑,10414,买入开仓
2016/3/17,9:46:56,上海股票期权,10000567,50ETF购6月1800,卖出,平仓,0.2979,2,5958,非备兑,10236,卖出平仓
2016/3/15,10:47:26,上海股票期权,10000404,50ETF沽3月1900,卖出,平仓,0.0031,5,155,非备兑,20652,卖出平仓
2016/3/15,10:17:14,上海股票期权,10000378,50ETF沽3月2000,卖出,平仓,0.0163,2,326,非备兑,14412,卖出平仓
2016/3/8,10:56:53,上海股票期权,10000404,50ETF沽3月1900,买入,开仓,0.0154,1,154,非备兑,41377,买入开仓
2016/3/8,10:53:32,上海股票期权,10000378,50ETF沽3月2000,买入,开仓,0.0391,2,782,非备兑,40737,买入开仓
2016/3/8,10:52:13,上海股票期权,10000403,50ETF沽3月1850,买入,开仓,0.0095,8,760,非备兑,40227,买入开仓
2016/3/8,10:50:34,上海股票期权,10000404,50ETF沽3月1900,买入,开仓,0.0151,4,604,非备兑,39917,买入开仓
2016/3/4,14:06:48,上海股票期权,10000401,50ETF购3月1900,卖出,平仓,0.192,1,1920,非备兑,80841,卖出平仓
2016/3/4,14:06:41,上海股票期权,10000541,50ETF购6月1950,买入,开仓,0.165,1,1650,非备兑,80815,买入开仓
2016/3/4,14:01:54,上海股票期权,10000552,50ETF购6月1900,买入,开仓,0.1989,2,3978,非备兑,79183,买入开仓
2016/3/4,14:00:14,上海股票期权,10000400,50ETF购3月1850,卖出,平仓,0.2447,1,2447,非备兑,78555,卖出平仓
2016/3/4,13:59:45,上海股票期权,10000399,50ETF购3月1800,卖出,平仓,0.2926,1,2926,非备兑,78367,卖出平仓
2016/3/3,13:45:59,上海股票期权,10000376,50ETF购3月2100,卖出,平仓,0.0295,2,590,非备兑,44871,卖出平仓
2016/3/3,13:45:48,上海股票期权,10000376,50ETF购3月2100,卖出,平仓,0.0295,1,295,非备兑,44818,卖出平仓
2016/3/3,13:41:45,上海股票期权,10000376,50ETF购3月2100,卖出,平仓,0.0314,1,314,非备兑,44062,卖出平仓
2016/3/3,13:41:24,上海股票期权,10000376,50ETF购3月2100,卖出,平仓,0.0314,1,314,非备兑,44022,卖出平仓
2016/3/3,13:39:55,上海股票期权,10000376,50ETF购3月2100,卖出,平仓,0.0308,1,308,非备兑,43848,卖出平仓
2016/3/3,13:38:22,上海股票期权,10000376,50ETF购3月2100,卖出,平仓,0.0308,1,308,非备兑,43567,卖出平仓
2016/3/3,13:36:25,上海股票期权,10000376,50ETF购3月2100,卖出,平仓,0.0312,1,312,非备兑,43272,卖出平仓
2016/3/2,13:00:00,上海股票期权,10000376,50ETF购3月2100,卖出,平仓,0.0198,1,198,非备兑,42178,卖出平仓
2016/3/2,11:28:56,上海股票期权,10000376,50ETF购3月2100,卖出,平仓,0.0193,1,193,非备兑,41707,卖出平仓
2016/3/2,11:28:36,上海股票期权,10000376,50ETF购3月2100,卖出,平仓,0.0192,3,576,非备兑,41679,卖出平仓
2016/2/26,14:30:11,上海股票期权,10000399,50ETF购3月1800,买入,开仓,0.1566,1,1566,非备兑,52866,买入开仓
