成交日期,成交时间,交易所,合约编码,合约名称,买卖,开平,成交价格,成交数量,成交金额,备兑,成交编码,备注,手续费,
2017-03-02,13:31:19,上海股票期权,10000671,50ETF购3月2055A,卖出,平仓,0.3094,1,3162.0700,非备兑,808464432,卖出平仓,,
2017-03-02,13:29:39,上海股票期权,10000672,50ETF购3月2104A,卖出,平仓,0.2614,8,21372.0600,非备兑,808464432,卖出平仓,,
2017-03-02,13:40:06,上海股票期权,10000867,50ETF购4月2250,买入,开仓,0.1194,9,-10746.0000,非备兑,808464432,买入开仓,,
2017-03-02,13:47:36,上海股票期权,10000867,50ETF购4月2250,买入,开仓,0.1181,1,-1181.0000,非备兑,808464432,买入开仓,,
2017-03-09,14:04:32,上海股票期权,10000727,50ETF购6月2153A,买入,开仓,0.1899,2,-3881.5600,非备兑,808464432,买入开仓,,
2017-03-09,14:04:46,上海股票期权,10000867,50ETF购4月2250,卖出,平仓,0.0917,2,1834.0000,非备兑,808464432,卖出平仓,,
2017-04-10,09:54:57,上海股票期权,10000867,50ETF购4月2250,卖出,平仓,0.1314,3,3942.0000,非备兑,808464432,卖出平仓,,
2017-04-10,10:14:24,上海股票期权,10000867,50ETF购4月2250,卖出,平仓,0.1315,3,3945.0000,非备兑,808464432,卖出平仓,,
2017-04-10,10:15:15,上海股票期权,10000867,50ETF购4月2250,卖出,平仓,0.1324,2,2648.0000,非备兑,808464432,卖出平仓,,
2017-04-10,10:12:05,上海股票期权,10000869,50ETF购5月2250,买入,开仓,0.1332,5,-6660.0000,非备兑,808464432,买入开仓,,
2017-04-10,10:12:36,上海股票期权,10000869,50ETF购5月2250,卖出,平仓,0.1321,3,3963.0000,非备兑,808464432,卖出平仓,,
2017-05-02,10:11:19,上海股票期权,10000727,50ETF购6月2153A,买入,开仓,0.1909,2,-3902.0000,非备兑,808464432,买入开仓,,
2017-05-02,10:16:00,上海股票期权,10000727,50ETF购6月2153A,买入,开仓,0.1908,1,-1949.9800,非备兑,808464432,买入开仓,,
2017-05-02,10:16:00,上海股票期权,10000727,50ETF购6月2153A,买入,开仓,0.1908,1,-1949.9800,非备兑,808464432,买入开仓,,
2017-05-02,10:14:22,上海股票期权,10000869,50ETF购5月2250,卖出,平仓,0.0950,2,1900.0000,非备兑,808464432,卖出平仓,,
2017-05-12,13:24:23,上海股票期权,10000885,50ETF购9月2200,买入,开仓,0.1584,2,-3168.0000,非备兑,808464432,买入开仓,,
2017-05-12,13:25:06,上海股票期权,10000885,50ETF购9月2200,买入,开仓,0.1584,2,-3168.0000,非备兑,808464432,买入开仓,,
2017-05-25,09:59:11,上海股票期权,10000727,50ETF购6月2153A,卖出,平仓,0.2534,1,2589.7500,非备兑,808464432,卖出平仓,,
2017-05-25,09:59:11,上海股票期权,10000727,50ETF购6月2153A,卖出,平仓,0.2534,2,5179.5000,非备兑,808464432,卖出平仓,,
2017-05-25,09:59:11,上海股票期权,10000727,50ETF购6月2153A,卖出,平仓,0.2534,2,5179.5000,非备兑,808464432,卖出平仓,,
2017-05-25,09:59:11,上海股票期权,10000727,50ETF购6月2153A,卖出,平仓,0.2534,1,2589.7500,非备兑,808464432,卖出平仓,,
2017-05-25,09:59:28,上海股票期权,10000885,50ETF购9月2200,买入,开仓,0.2098,6,-12588.0000,非备兑,808464432,买入开仓,,
2017-05-26,13:26:54,上海股票期权,10000747,50ETF购6月2446A,买入,开仓,0.0369,1,-377.1200,非备兑,808464432,买入开仓,,
2017-05-26,13:27:00,上海股票期权,10000747,50ETF购6月2446A,买入,开仓,0.0370,1,-378.1400,非备兑,808464432,买入开仓,,
2017-05-26,13:27:50,上海股票期权,10000747,50ETF购6月2446A,买入,开仓,0.0370,1,-378.1400,非备兑,808464432,买入开仓,,
2017-06-02,09:39:23,上海股票期权,10000747,50ETF购6月2446A,卖出,平仓,0.0579,1,591.7400,非备兑,808464432,卖出平仓,,
2017-06-02,09:39:23,上海股票期权,10000747,50ETF购6月2446A,卖出,平仓,0.0579,1,591.7400,非备兑,808464432,卖出平仓,,
2017-06-02,09:39:25,上海股票期权,10000747,50ETF购6月2446A,卖出,平仓,0.0579,1,591.7400,非备兑,808464432,卖出平仓,,
2017-06-02,09:47:28,上海股票期权,10000885,50ETF购9月2200,卖出,平仓,0.2951,10,29510.0000,非备兑,808464432,卖出平仓,,
2017-06-02,09:46:16,上海股票期权,10000902,50ETF购7月2350,买入,开仓,0.1465,1,-1465.0000,非备兑,808464432,买入开仓,,
2017-06-02,09:48:16,上海股票期权,10000902,50ETF购7月2350,买入,开仓,0.1454,9,-13086.0000,非备兑,808464432,买入开仓,,
2017-06-05,09:42:20,上海股票期权,10000747,50ETF购6月2446A,买入,开仓,0.0360,3,-1103.7600,非备兑,808464432,买入开仓,,
2017-06-07,10:47:27,上海股票期权,10000747,50ETF购6月2446A,卖出,平仓,0.0460,1,470.1200,非备兑,808464432,卖出平仓,,
2017-06-07,10:47:27,上海股票期权,10000747,50ETF购6月2446A,卖出,平仓,0.0460,2,940.2400,非备兑,808464432,卖出平仓,,
